Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,,Other Fed,,Federal Total,States Total,,Species Total
Mammals subtotal,,,,"$51,691,777",,"$71,591,552","$123,283,329","$12,051,904",,"$135,335,233"
Birds,285,Akekee (Loxops caeruleirostris) - Wherever found,E,"$236,484",,"$64,215","$300,699",$0,,"$300,699"
"",536,"Akepa, Hawaii (Loxops coccineus) - Wherever found",E,"$50,844",,"$26,635","$77,479",$0,,"$77,479"
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,,Species Total
"",620,"Akepa, Maui (Loxops ochraceus) - Wherever found",E,"$19,290","$36,250","$55,540",$0,,"$55,540"
"",1399,"Akialoa, Kauai (honeycreeper) (Akialoa stejnegeri) - Wherever found",E,"$1,362",$0,"$1,362",$0,,"$1,362"
"",568,Akiapolaau (Hemignathus wilsoni) - Wherever found,E,"$42,585","$26,635","$69,220",$0,,"$69,220"
"",259,Akikiki (Oreomystis bairdi) - Wherever found,E,"$328,831","$64,215","$393,046",$0,,"$393,046"
"",,"Albatross, short-tailed (Phoebastria (=Diomedea) albatrus) - Wherever",,,,,,,
"",353,,E,"$141,525","$43,386","$184,911",$0,,"$184,911"
"",,found,,,,,,,
"",483,"Blackbird, yellow-shouldered (Agelaius xanthomus) - Wherever found",E,"$84,500","$25,000","$109,500",$0,,"$109,500"
"",,"Bobwhite, masked (quail) (Colinus virginianus ridgwayi) - Wherever",,,,,,,
"",304,,E,"$245,164","$10,600","$255,764","$2,687",,"$258,451"
"",,found,,,,,,,
"",148,"Caracara, Audubon's crested (Polyborus plancus audubonii) - FL pop.",T,"$212,500","$685,745","$898,245",$0,,"$898,245"
"",,"Condor, California (Gymnogyps californianus) - U.S.A. only, except",,,,,,,
"",62,,E,"$3,140,711","$708,674","$3,849,385",$0,,"$3,849,385"
