Group,Status,Scientific Name,Inverted Common Name,FWS 2017,Other Fed 2017,States 2017,Total 2017,Area
Flowering Plants,E,cyanea pinnatifida ,haha ,8314,0,0,8314, wherever found
Flowering Plants,E,cyanea obtusa ,haha ,9640,0,0,9640, wherever found
Flowering Plants,E,cyanea munroi ,haha ,8173,0,0,8173, wherever found
Flowering Plants,E,cyanea mceldowneyi ,haha ,6168,0,0,6168, wherever found
Flowering Plants,E,cyanea mauiensis ,haha ,6067,0,0,6067, wherever found
Flowering Plants,E,cyanea marksii ,haha ,17527,0,0,17527, wherever found
Flowering Plants,E,cyanea maritae ,haha ,9640,20700,0,30340, wherever found
Flowering Plants,E,cyanea magnicalyx ,haha ,5914,0,0,5914, wherever found
Flowering Plants,E,cyanea longiflora ,haha ,6890,128415,0,135305, wherever found
Flowering Plants,E,cyanea lobata ,haha ,11739,0,0,11739, wherever found
Flowering Plants,E,cyanea lanceolata ,haha ,5914,0,0,5914, wherever found
Flowering Plants,E,cyanea kunthiana ,haha ,6519,20700,0,27219, wherever found
Flowering Plants,E,cyanea kuhihewa ,haha ,9344,0,0,9344, wherever found
Flowering Plants,E,cyanea koolauensis ,haha ,58186,128415,0,186601, wherever found
Flowering Plants,E,cyanea kolekoleensis ,haha ,9295,0,0,9295, wherever found
Flowering Plants,E,cyanea humboldtiana ,haha ,58087,0,0,58087, wherever found
Flowering Plants,E,cyanea hamatiflora ssp. hamatiflora ,haha ,8376,20700,0,29076, wherever found
Flowering Plants,E,cyanea grimesiana ssp. obatae ,haha ,8945,128415,0,137360, wherever found
Flowering Plants,E,psychotria hexandra ssp. oahuensis ,kopiko ,7777,0,0,7777, wherever found
Flowering Plants,E,melicope paniculata ,alani ,7408,0,0,7408, wherever found
Flowering Plants,E,plantago hawaiensis ,kuahiwi laukahi ,11926,1500,0,13426, wherever found
Flowering Plants,E,kadua parvula ,no common name ,7022,141690,0,148712, wherever found
Flowering Plants,E,kadua st.,no common name ,9344,0,0,9344, johnii) 
Flowering Plants,E,keysseria ,no common name ,9448,0,0,9448,
Flowering Plants,E,keysseria ,no common name ,9448,0,0,9448,
Flowering Plants,E,labordia lorenciana ,no common name ,7432,0,0,7432, wherever found
Flowering Plants,E,lepanthes eltoroensis ,no common name ,8000,100,0,8100, wherever found
Flowering Plants,E,lepidium orbiculare ,no common name ,5914,0,0,5914, wherever found
Flowering Plants,E,leptocereus grantianus ,no common name ,3000,0,0,3000, wherever found
Flowering Plants,E,lipochaeta venosa ,no common name ,8407,32000,0,40407, wherever found
Flowering Plants,E,lobelia koolauensis ,no common name ,9961,0,0,9961, wherever found
Flowering Plants,E,lobelia monostachya ,no common name ,9832,0,0,9832, wherever found
Flowering Plants,E,lobelia niihauensis ,no common name ,7582,13275,0,20857, wherever found
Flowering Plants,E,lobelia oahuensis ,no common name ,14041,0,0,14041, wherever found
