Common Name,Scientific Name,Area,Group,Recovery Document Date,Status,Region,Recovery Actions
Loggerhead sea turtle,Caretta caretta,North Pacific Ocean DPS,Reptiles,1998-01-12,E,Southeast Region,
Mapele,Cyrtandra cyaneoides,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,81.0
Kauai akialoa (honeycreeper),Akialoa stejnegeri,Wherever found,Birds,2021-08-27,E,Pacific Region,145.0
Royal marstonia (snail),Marstonia ogmorhaphe,Wherever found,Snails,1995-08-11,E,Southeast Region,13.0
No common name,Stenogyne kealiae,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
`Awikiwiki,Canavalia napaliensis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Koki`o ke`oke`o,Hibiscus waimeae ssp. hannerae,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,79.0
Palapalai aumakua,Dryopteris crinalis var. podosorus,Wherever found,Ferns and Allies,2021-08-27,E,Pacific Region,78.0
nehe,Melanthera tenuifolia,Wherever found,Flowering Plants,1998-08-10,E,Pacific Region,25.0
Haha,Cyanea rivularis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Ma`oli`oli,Schiedea apokremnos,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,76.0
Tar River spinymussel,Parvaspina steinstansana,Wherever found,Clams,2019-11-07,E,Southeast Region,14.0
Uinta Basin hookless cactus,Sclerocactus wetlandicus,Wherever found,Flowering Plants,2010-04-14,T,Mountain-Prairie Region,
Kentucky arrow darter,Etheostoma spilotum,Wherever found,Fishes,2017-02-15,T,Southeast Region,
Kamakahala,Labordia tinifolia var. wahiawaensis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,74.0
Atlantic salmon,Salmo salar,Gulf of Maine DPS,Fishes,2019-01-31,E,Northeast Region,
Stephens' kangaroo rat,Dipodomys stephensi (incl. D. cascus),Wherever found,Mammals,1997-06-23,T,California/Nevada Region,25.0
Cumberland monkeyface (pearlymussel),Theliderma intermedia,Wherever found; Except where listed as Experimental Populations,Clams,1984-07-09,E,Southeast Region,19.0
No common name,Lysimachia pendens,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,73.0
No common name,Polyscias bisattenuata,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,81.0
Robust spineflower,Chorizanthe robusta var. robusta,Wherever found,Flowering Plants,2004-12-20,E,California/Nevada Region,21.0
No common name,Hesperomannia lydgatei,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,79.0
kookoolau,Bidens hillebrandiana ssp. hillebrandiana,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
haiwale,Cyrtandra nanawaleensis,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
haiwale,Cyrtandra wagneri,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
No common name,Schiedea diffusa ssp. macraei,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
Green sea turtle,Chelonia mydas,Central North Pacific DPS,Reptiles,1998-01-12,T,Pacific Region,
`Akoko,Euphorbia eleanoriae,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,80.0
Laulihilihi,Schiedea stellarioides,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,80.0
Nohoanu,Geranium kauaiense,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,74.0
Pilo kea lau li`i,Platydesma rostrata,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Haha,Cyanea kolekoleensis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,77.0
Hawaiian picture-wing fly,Drosophila sharpi,Wherever found,Insects,2021-08-27,E,Pacific Region,71.0
Haha,Cyanea recta,Wherever found,Flowering Plants,2021-08-27,T,Pacific Region,78.0
Ha`iwale,Cyrtandra oenobarba,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Cebello halumtano,Bulbophyllum guamense,Wherever found,Flowering Plants,2020-02-03,T,Pacific Region,
No common name,Dendrobium guamense,Wherever found,Flowering Plants,2020-02-03,T,Pacific Region,
No common name,Eugenia bryanii,Wherever found,Flowering Plants,2020-02-03,E,Pacific Region,
Paudedo,Hedyotis megalantha,Wherever found,Flowering Plants,2020-02-03,E,Pacific Region,
No common name,Maesa walkeri,Wherever found,Flowering Plants,2020-02-03,T,Pacific Region,
No common name,Nervilia jacksoniae,Wherever found,Flowering Plants,2020-02-03,T,Pacific Region,
Berenghenas halomtano,Solanum guamense,Wherever found,Flowering Plants,2020-02-03,E,Pacific Region,
No common name,Tuberolabium guamense,Wherever found,Flowering Plants,2020-02-03,T,Pacific Region,
Fadang,Cycas micronesica,Wherever found,Conifers and Cycads,2020-02-03,T,Pacific Region,
Slevin's skink,Emoia slevini,Wherever found,Reptiles,2020-02-03,E,Pacific Region,
Green sea turtle,Chelonia mydas,Central South Pacific DPS,Reptiles,1998-01-12,E,Pacific Region,
Green sea turtle,Chelonia mydas,Central West Pacific DPS,Reptiles,1998-01-12,E,Pacific Region,
Green sea turtle,Chelonia mydas,East Pacific DPS,Reptiles,1998-01-12,T,California/Nevada Region,
No common name,Schiedea spergulina var. leiopoda,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Green sea turtle,Chelonia mydas,North Atlantic DPS,Reptiles,1991-10-29,T,Southeast Region,
Green sea turtle,Chelonia mydas,South Atlantic DPS,Reptiles,1991-10-29,T,Southeast Region,
Guyandotte River crayfish,Cambarus veteranus,Wherever found,Crustaceans,2018-09-10,E,Northeast Region,
Maui nukupuu,Hemignathus affinis,Wherever found,Birds,2006-09-22,E,Pacific Region,
No common name,Tinospora homosepala,Wherever found,Flowering Plants,2020-02-03,E,Pacific Region,
